product,rating,rating count,price,product url
"10 Inch Planter Pot with Stand, Mid-Century Tall Plant Pot with Legs for Indoor Plants, Medium, Black, 88-ST-2-M  ",4.7 out of 5 stars,596  ,79.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9hdGY6MjAwMDkxNjAyNTIzNjk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FInches-Planter-Mid-Century-Finishing-Drainage%2Fdp%2FB07SG2JFYR%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1
"Umbra Triflora Hanging Planter for Window, Indoor Herb Garden, White/Black, Triple  ",4.5 out of 5 stars,"7,241  ",30.77,https://amazon.com/Umbra-Triflora-Hanging-Planter-Window/dp/B07M8P93FD/ref=sr_1_9?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-9
Whonline Artificial Hanging Plants Small Fake Potted Plants for Indoor Outdoor Shelf Decor (1 Pack)  ,4.2 out of 5 stars,"2,265  ",13.99,https://amazon.com/Whonline-Artificial-Hanging-Plants-Outdoor/dp/B091647KGL/ref=sr_1_11?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-11
"LINZINAR Plant Stand 4 Tier 5 Potted Indoor Plant Shelf Multiple Stands for Garden Corner Balcony Living Room (4 Tier 5 Potted, Black)  ",4.1 out of 5 stars,935  ,31.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9tdGY6MjAwMDU4OTQyMjU4MTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FLINZINAR-Potted-Indoor-Multiple-Balcony%2Fdp%2FB09H5BB7KV%2Fref%3Dsr_1_13_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-13-spons%26psc%3D1
Face Planters Pots Succulent Planters Flower Pot Cute Head Planter Pot - Planters for Indoor Outdoor Plants  ,4.7 out of 5 stars,594  ,14.77,https://amazon.com/Face-Planters-Succulent-Flower-Planter/dp/B09WJZFH3Z/ref=sr_1_16?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-16
"Wall Planters for Indoor Plants - 10 Pack, 4 Inch Self Watering Planters and Pots, White Wall Mount Planter Plant Holder, Modern Hydroponic Wall Pots Vertical Wall Planter Living Plant Wall Garden  ",4.4 out of 5 stars,13  ,26.99,https://amazon.com/Wall-Planters-Indoor-Plants-Hydroponic/dp/B0B2DX1NQ9/ref=sr_1_19?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-19
Plant Stand Indoor Outdoor，Tall Black Metal Rustproof Stable Plant Stands，2 Tier 27.1 inch Multiple Plant Rack for Planter Corner Garden Living Room & Garden  ,5.0 out of 5 stars,1  ,19.1,https://amazon.com/Outdoor%EF%BC%8CTall-Rustproof-Stands%EF%BC%8C2-Multiple-Planter/dp/B0BB64C5QH/ref=sr_1_20?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-20
"Vanavazon 6 Inch Self Watering Planter Pots for Indoor Plants, 3 Pack African Violet Pots with Wick Rope-Black  ",4.6 out of 5 stars,"1,811  ",16.99,https://amazon.com/Vanavazon-Watering-Planter-African-Rope-Black/dp/B09PQJ893P/ref=sr_1_21?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-21
Plant Stand Indoor Outdoor，Tall Black Metal Rustproof Stable Plant Stands，2 Tier 27.1 inch Multiple Plant Rack for Planter Corner Garden Living Room & Garden  ,5.0 out of 5 stars,1  ,19.1,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9tdGY6MjAwMDkxODQ2MzIzNzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FOutdoor%25EF%25BC%258CTall-Rustproof-Stands%25EF%25BC%258C2-Multiple-Planter%2Fdp%2FB0BB64C5QH%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-22-spons%26psc%3D1
European-Style Retro Flower Stand/Plant Stand Wrought Iron Flower Stand 4-Layer Plant Flower Pot Stand with Brake Wheel Frame Brown Flower Stand  ,4.0 out of 5 stars,22  ,43.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9tdGY6MjAwMDgzODc0NTkxNzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FEuropean-Style-Retro-Flower-Wrought-4-Layer%2Fdp%2FB08BZDQKXC%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-23-spons%26psc%3D1%26smid%3DA3RHHD9SPWMO24
